filename	expression	answer	font_size_px
problem_0001.png	7 + 5 =	12	120
problem_0002.png	19 + 8 + 6 - (2 - 1) =	32	120
problem_0003.png	15 + 1 + 11 =	27	120
problem_0004.png	((16 ÷ 2) + 12 - 9) × (9 + 6 - 4) =	121	108
problem_0005.png	15 - (20 - (1 × 18)) =	13	120
problem_0006.png	11 + 14 + 17 × 13 - (19 - 19) =	246	116
problem_0007.png	(20 - 7) × (9 + 12) =	273	120
problem_0008.png	((13 + 6) + 7) - 20 + 15 × 1 × (11 - 4) =	111	90
problem_0009.png	3 + 8 × (19 + 6) - (8 × 20 + (5 - 2)) =	40	96
problem_0010.png	11 × 9 + 6 + 1 =	106	120
problem_0011.png	18 - 6 =	12	120
problem_0012.png	1 + 4 + 5 + 17 + 1 =	28	120
problem_0013.png	20 - 11 + 2 =	11	120
problem_0014.png	14 + 10 + 5 =	29	120
problem_0015.png	(11 × 20 - (19 + 20)) × 1 =	181	120
problem_0016.png	((20 + 9) - (15 - 9 + (19 - 7))) × 18 =	198	98
problem_0017.png	13 + (11 - (15 - 12)) ÷ 8 =	14	120
problem_0018.png	(9 + 18 × 6) + 15 × 9 - (8 + 3) =	241	112
problem_0019.png	6 × 9 + 13 - 3 =	64	120
problem_0020.png	7 × 19 - 9 + 6 + 8 + (8 - 7) =	139	120
problem_0021.png	17 × 4 + 18 - 2 =	84	120
problem_0022.png	11 + 19 + 13 × 20 =	290	120
problem_0023.png	16 - 7 =	9	120
problem_0024.png	(12 × 8) + 17 + 13 =	126	120
problem_0025.png	(20 + 14 + (7 + 14)) + (12 + 8) + 13 - (((19 - 12) + 2 + 6) - 2) =	75	56
problem_0026.png	16 + 6 - (19 - 18) + 2 =	23	120
problem_0027.png	16 - (4 - 4) + 2 =	18	120
problem_0028.png	13 + 8 × 5 + 7 × 17 =	172	120
problem_0029.png	15 × 15 =	225	120
problem_0030.png	12 - (6 - 6) ÷ 1 ÷ 13 =	12	120
problem_0031.png	(8 + 12 - (6 + 6)) × 2 =	16	120
problem_0032.png	19 - 2 - (20 - 6) =	3	120
problem_0033.png	(4 × 10) × 1 + 6 × 6 =	76	120
problem_0034.png	((15 - 2) - (10 + 1)) × 20 - 5 =	35	120
problem_0035.png	5 + 10 - 3 =	12	120
